101,104,105,106,107,108,109,110,111,112,113,114,115
193,0,193,0,193,0,193,0,193,0,193,0,193
0,184,0,184,0,184,0,184,0,184,0,184,0
0,169,169,169,169,169,169,0,0,0,0,0,0
0,168,168,168,168,168,168,0,0,0,0,0,0
168,168,168,168,168,168,168,168,168,168,168,168,168
168,168,168,168,168,168,168,168,168,168,168,168,168
194,194,194,194,0,194,194,194,194,194,194,194,194
168,168,168,168,0,168,168,168,168,168,168,168,168
168,168,0,168,0,168,168,168,0,0,0,168,168
0,168,168,168,168,168,168,168,168,168,168,168,168
0,141,141,141,141,141,141,141,141,141,141,141,141
0,143,143,143,143,143,143,143,143,143,143,143,143
0,184,184,184,184,184,184,184,184,184,184,184,184
0,165,165,165,165,165,165,165,165,165,165,165,165
0,236,236,236,236,236,236,236,236,236,236,236,236
0,186,186,186,186,186,186,186,186,186,186,186,186
0,162,162,162,162,162,162,162,162,162,162,162,162
0,160,160,160,160,160,160,160,160,160,160,160,160
0,165,165,165,165,165,165,165,165,165,165,165,165
0,121,121,121,121,121,121,121,121,121,121,121,121
0,191,191,191,191,191,191,191,191,191,191,191,191
0,167,167,167,167,167,167,167,167,167,167,167,167
0,164,164,164,164,164,164,164,119,164,164,164,164
0,168,168,168,168,168,168,168,168,168,168,168,168
0,191,191,191,191,191,191,191,191,191,191,191,191
0,186,186,186,186,186,186,186,186,186,186,186,186
0,261,261,261,261,261,261,261,261,261,261,261,261
0,173,173,173,173,173,173,173,173,173,173,173,173
0,184,184,184,184,184,184,184,0,184,184,184,184
0,145,145,145,145,145,145,145,0,145,145,145,145
0,326,326,326,326,326,326,326,0,326,326,326,326
0,261,261,261,261,261,261,261,0,261,261,261,261
0,262,262,262,262,262,262,262,0,262,262,262,262
0,167,167,167,167,167,167,167,0,167,167,167,167
0,308,308,308,308,308,308,308,0,308,308,308,308
0,167,167,167,167,167,167,167,0,167,167,167,167
0,168,168,168,168,168,168,168,0,168,168,168,168
0,191,191,191,191,191,191,191,0,191,191,191,191
0,293,293,293,293,293,293,293,0,293,293,293,293
0,358,358,358,358,358,358,358,0,358,358,358,358
0,363,363,363,363,363,363,363,0,363,363,363,363
0,307,307,307,307,307,307,307,0,307,307,307,307
0,341,341,341,341,341,341,341,0,341,341,341,341
